recency,freq,monetary
48,1,77183.6
371,182,4310.0
298,31,1797.24
355,73,1757.55
63,17,334.4
337,85,2506.04
169,4,89.0
141,58,1079.4
159,13,459.4
351,59,2811.43
340,131,6207.67
372,19,1168.06
316,248,6372.58
321,129,2662.06
86,10,189.9
370,266,5226.23
264,23,552.0
366,85,1313.1
82,22,641.38
369,11,168.9
322,167,3545.69
329,63,1887.96
302,52,1298.04
62,14,364.6
348,33,742.9300000000001
363,17,457.5
58,77,1628.12
244,219,4008.62
292,40,852.24
352,104,2724.81
369,87,1845.31
189,99,1850.56
345,27,585.27
36,10,401.9
358,100,2780.66
294,32,549.84
352,100,460.89
301,64,1582.6000000000001
310,27,1272.48
354,156,3018.63
338,126,2409.9
328,85,1635.6599999999999
254,59,1108.65
70,5,84.3
50,11,225.6
324,5,427.7
225,54,1710.39
351,105,3415.3
324,77,1708.1200000000001
341,105,2888.55
295,109,11072.67
65,26,693.3299999999999
299,61,1226.88
307,38,758.1
156,18,562.41
349,716,124914.53
370,192,3649.1
261,34,668.58
310,29,600.39
358,45,807.04
278,39,803.5600000000001
373,125,1859.31
211,30,1760.96
295,36,777.2
179,30,582.73
352,31,825.8
348,294,7956.46
364,97,3750.4
330,11,256.4
338,236,6487.45
331,108,5059.32
373,420,13375.87
289,50,806.14
294,36,7829.89
274,16,509.01
372,200,4951.41
359,98,2906.85
7,11,173.55
370,12,172.06
352,177,5005.46
351,4,133.4
316,58,1002.3100000000001
130,26,476.49
329,22,449.45
351,191,4067.29
217,8,197.88
363,354,9035.52
357,22,430.57
239,43,707.09
317,15,3528.34
300,90,2466.86
329,125,3181.04
307,63,2363.23
302,38,947.4
279,35,826.88
355,62,1189.59
320,83,1344.78
363,29,1212.05
356,47,742.1899999999999
186,38,729.5400000000001
371,460,19824.05
341,339,6572.11
344,168,3938.5499999999997
356,424,7375.79
320,36,723.38
358,233,6816.42
351,300,13219.74
370,36,680.99
362,31,527.2
345,154,3281.63
351,217,5596.32
356,75,2484.98
341,346,4541.72
364,55,1298.66
37,15,334.93
368,245,5417.93
335,26,460.40000000000003
310,20,263.21000000000004
208,22,433.74
358,77,1246.1000000000001
292,14,1043.1
352,23,403.70000000000005
350,61,4257.82
37,149,2169.39
278,147,3723.87
355,9,482.04999999999995
141,23,73.5
239,22,1304.81
347,69,398.27
89,7,176.5
231,33,982.5699999999999
307,34,138.03
261,35,612.29
106,51,1017.68
20,16,383.7
296,26,1312.06
345,284,2502.84
373,124,2056.89
310,18,340.84
294,152,2634.26
231,38,599.68
334,12,192.72
354,106,1789.77
364,144,4485.72
373,71,1316.66
292,18,348.71000000000004
364,92,1933.48
314,66,1662.28
359,17,125.22
343,16,349.83000000000004
243,63,1089.18
282,34,716.35
330,261,12601.830000000002
344,21,363.95
351,273,5568.35
354,478,13400.24
344,52,981.18
337,19,372.7
298,50,1000.39
327,69,1161.5
176,8,207.79999999999998
207,5,95.19999999999999
294,57,964.83
16,10,168.0
335,20,437.82
365,191,3692.28
323,121,603.71
357,33,11990.960000000001
366,11,269.96
63,21,561.71
368,105,2134.01
71,16,238.85
365,168,3781.7400000000002
112,21,456.9
85,9,145.92
287,19,351.65
351,446,9401.28
371,188,4124.69
334,34,519.61
365,60,1020.42
146,28,160.54000000000002
58,11,218.45
338,88,1315.83
338,147,657.8
352,114,2794.51
295,29,440.42
127,24,415.7
334,15,197.71
135,22,511.36
371,247,7281.38
370,96,2338.15
139,87,2040.1
356,11,196.94000000000003
366,4,144.0
334,10,214.89999999999998
345,35,646.68
162,68,9864.26
56,26,452.84999999999997
281,18,437.6
265,21,418.09999999999997
336,118,3338.2200000000003
322,27,618.27
354,206,3811.22
364,132,3023.08
344,62,1032.58
345,64,2599.04
184,28,577.0600000000001
315,12,153.12
352,3,739.1999999999999
294,16,254.18
313,101,1579.51
295,60,1126.85
351,106,2099.54
321,65,1193.32
299,19,704.0400000000001
316,153,3344.38
96,20,315.6
371,105,2291.19
278,32,713.3
344,42,355.53
352,11,177.31
357,90,3641.24
359,92,1339.41
372,467,13689.67
141,11,180.1
97,18,305.1
267,38,641.13
162,86,2683.82
350,294,6620.48
363,230,4478.53
369,41,786.46
364,64,1270.88
